,state-code,state-name,district-code,district-name,teh-code,teh-name,vill-code,ward-no,area-name,census_id
4318,03,PUNJAB,038,Hoshiarpur,00217,Garhshankar,031904,0000,Chak Soni (112),0303800217031904
6412,03,PUNJAB,042,Moga,00233,Moga,034018,0000,Dhurkot Charat Singh (48),0304200233034018
14814,06,HARYANA,075,Panipat,00375,Panipat,059474,0000,Sarai Pilghan (14) ,0607500375059474
5414,03,PUNJAB,041,Ludhiana,00224,Samrala,033008,0000,Sainsowal Khurd (35),0304100224033008
10918,03,PUNJAB,051,Rupnagar,00264,Rup Nagar,038638,0000,Chandpur (21),0305100264038638
1173,03,PUNJAB,035,Gurdaspur,00203,Batala ,028636,0000,Bariyar (161),0303500203028636
11466,03,PUNJAB,052,Sahibzada Ajit Singh Nagar,00267,SAS Nagar (Mohali),039204,0000,Drari (283),0305200267039204
18052,06,HARYANA,085,Rewari,00415,Bawal,062726,0000,Jhabuwa (68),0608500415062726
5184,03,PUNJAB,040,Fatehgarh Sahib,00221,Fatehgarh Sahib,032776,0000,Jakhwali (329),0304000221032776
18453,06,HARYANA,087,Mewat ,00422,Nuh,063139,0000,Dhanduka (151),0608700422063139
4126,03,PUNJAB,038,Hoshiarpur,00216,Hoshiarpur ,031710,0000,Badala Mahi (200),0303800216031710
4868,03,PUNJAB,039,Shahid Bhagat Singh Nagar ,00219,Balachaur,032461,0000,Majari Becharag(182),0303900219032461
5867,03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),033471,0000,Rawat (66),0304100227033471
17618,06,HARYANA,084,Mahendragarh,00412,Narnaul,062275,0000,Khatoli Jat(216),0608400412062275
6470,03,PUNJAB,042,Moga,00233,Moga,034078,0000,Daulatpur Ucha (10),0304200233034078
813,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028261,0000,Babehali (364),0303500202028261
1975,03,PUNJAB,036,Kapurthala ,00207,Sultanpur Lodhi ,029481,0000,Sultanpur (Rural)  (135),0303600207029481
5848,03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),033452,0000,Chak Sarwan Nath (216),0304100227033452
2021,03,PUNJAB,036,Kapurthala ,00207,Sultanpur Lodhi ,029527,0000,Hazara (173),0303600207029527
8162,03,PUNJAB,046,Bathinda,00245,Bathinda,035813,0000,Janghi Rana (86),0304600245035813
12443,06,HARYANA,069,Panchkula,00357,Panchkula,057055,0000,Nagal Moginand (229),0606900357057055
16448,06,HARYANA,081,Bhiwani,00397,Bawani Khera,061114,0000,Ratera (34),0608100397061114
6850,03,PUNJAB,043,Firozpur,00235,Firozpur,034471,0000,Machhiwara  (152),0304300235034471
674,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028119,0000,Balagan (161),0303500202028119
5681,03,PUNJAB,041,Ludhiana,00226,Payal,033280,0000,Dudhal (415),0304100226033280
3075,03,PUNJAB,037,Jalandhar,00213,Jalandhar - II,030632,0000,Bhatnura Lubana (14),0303700213030632
15196,06,HARYANA,076,Sonipat,00380,Sonipat,059875,0000,Akbarpur Barota (62),0607600380059875
350,03,PUNJAB,035,Gurdaspur,00201,Pathankot       ,027751,0000,Raji (138),0303500201027751
4792,03,PUNJAB,039,Shahid Bhagat Singh Nagar ,00219,Balachaur,032385,0000,Atari (432),0303900219032385
3249,03,PUNJAB,038,Hoshiarpur,00214,Dasua,030821,0000,Raju Dawa Khri (78),0303800214030821
13061,06,HARYANA,071,Yamunanagar,00361,Jagadhri,057693,0000,Khera Kalan (355),0607100361057693
3055,03,PUNJAB,037,Jalandhar,00213,Jalandhar - II,030612,0000,Sohalpur (23),0303700213030612
4242,03,PUNJAB,038,Hoshiarpur,00217,Garhshankar,031827,0000,Benewal (26),0303800217031827
11425,03,PUNJAB,052,Sahibzada Ajit Singh Nagar,00267,SAS Nagar (Mohali),039162,0000,Jhampur (22),0305200267039162
8967,03,PUNJAB,048,Patiala,00253,Patiala,036611,0000,Hira Garh (148),0304800253036611
17489,06,HARYANA,084,Mahendragarh,00412,Narnaul,062145,0000,Chandpura(25/1),0608400412062145
14337,06,HARYANA,074,Karnal,00370,Nilokheri,058991,0000,Jamba (22),0607400370058991
13766,06,HARYANA,072,Kurukshetra,00365,Pehowa,058421,0000,Shahpur (14),0607200365058421
3694,03,PUNJAB,038,Hoshiarpur,00215,Mukerian ,031270,0000,Ulaha (380),0303800215031270
2674,03,PUNJAB,037,Jalandhar,00211,Phillaur,030221,0000,Danduwal (53),0303700211030221
793,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028241,0000,Salimpur Araian (345),0303500202028241
